FIPS,Name,3/7/2020,3/8/2020,3/9/2020,3/10/2020,3/11/2020,3/12/2020,3/13/2020,3/14/2020,3/15/2020,3/16/2020,3/17/2020,3/18/2020,3/19/2020,3/20/2020,3/21/2020,3/22/2020,3/23/2020,3/24/2020,3/25/2020,3/26/2020,3/27/2020,3/28/2020,3/29/2020,3/30/2020,3/31/2020,4/1/2020,4/2/2020,4/3/2020,4/4/2020,4/5/2020,4/6/2020,4/7/2020,4/8/2020,4/9/2020,4/10/2020,4/11/2020,4/12/2020,4/13/2020,4/14/2020,4/15/2020,4/16/2020,4/17/2020,4/18/2020,4/19/2020,4/20/2020,4/21/2020,4/22/2020,4/23/2020,4/24/2020,4/25/2020,4/26/2020,4/27/2020,4/28/2020,4/29/2020,4/30/2020,5/1/2020,5/2/2020,5/3/2020,5/4/2020,5/5/2020,5/6/2020,5/7/2020,5/8/2020,5/9/2020,5/10/2020,5/11/2020,5/12/2020,5/13/2020,5/14/2020,5/15/2020,5/16/2020,5/17/2020,5/18/2020,5/19/2020,5/20/2020,5/21/2020,5/22/2020,5/23/2020,5/24/2020,5/25/2020,5/26/2020,5/27/2020,5/28/2020,5/29/2020,5/30/2020,5/31/2020,6/1/2020,6/2/2020,6/3/2020,6/4/2020,6/5/2020,6/6/2020,6/7/2020,6/8/2020,6/9/2020,6/10/2020,6/11/2020,6/12/2020,6/13/2020,6/14/2020,6/15/2020,6/16/2020,6/17/2020,6/18/2020,6/19/2020,6/20/2020,6/21/2020,6/22/2020,6/23/2020,6/24/2020,6/25/2020,6/26/2020,6/27/2020,6/28/2020,6/29/2020,6/30/2020,7/1/2020,7/2/2020,7/3/2020,7/4/2020,7/5/2020,7/6/2020,7/7/2020,7/8/2020,7/9/2020,7/10/2020,7/11/2020,7/12/2020,7/13/2020,7/14/2020,7/15/2020,7/16/2020,7/17/2020,7/18/2020,7/19/2020,7/20/2020,7/21/2020,7/22/2020,7/23/2020,7/24/2020,7/25/2020,7/26/2020,7/27/2020,7/28/2020,7/29/2020,7/30/2020,7/31/2020,8/1/2020,8/2/2020,8/3/2020,8/4/2020,8/5/2020,8/6/2020,8/7/2020,8/8/2020,8/9/2020,8/10/2020,8/11/2020,8/12/2020,8/13/2020,8/14/2020,8/15/2020,8/16/2020,8/17/2020,8/18/2020,8/19/2020,8/20/2020,8/21/2020,8/22/2020,8/23/2020,8/24/2020,8/25/2020,8/26/2020,8/27/2020,8/28/2020,8/29/2020,8/30/2020,8/31/2020,9/1/2020,9/2/2020,9/3/2020,9/4/2020,9/5/2020,9/6/2020,9/7/2020,9/8/2020,9/9/2020,9/10/2020,9/11/2020,9/12/2020,9/13/2020,9/14/2020,9/15/2020,9/16/2020,9/17/2020,9/18/2020,9/19/2020,9/20/2020,9/21/2020,9/22/2020,9/23/2020,9/24/2020,9/25/2020,9/26/2020,9/27/2020,9/28/2020,9/29/2020,9/30/2020,10/1/2020,10/2/2020,10/3/2020,10/4/2020,10/5/2020,10/6/2020,10/7/2020,10/8/2020,10/9/2020,10/10/2020,10/11/2020,10/12/2020,10/13/2020,10/14/2020,10/15/2020,10/16/2020,10/17/2020,10/18/2020,10/19/2020,10/20/2020,10/21/2020,10/22/2020,10/23/2020,10/24/2020,10/25/2020,10/26/2020,10/27/2020,10/28/2020,10/29/2020,10/30/2020,10/31/2020,11/1/2020,11/2/2020,11/3/2020,11/4/2020,11/5/2020,11/6/2020,11/7/2020,11/8/2020,11/9/2020,11/10/2020,11/11/2020,11/12/2020,11/13/2020,11/14/2020,11/15/2020,11/16/2020,11/17/2020,11/18/2020,11/19/2020,11/20/2020,11/21/2020,11/22/2020,11/23/2020,11/24/2020,11/25/2020,11/26/2020,11/27/2020,11/28/2020,11/29/2020,11/30/2020,12/1/2020,12/2/2020,12/3/2020,12/4/2020,12/5/2020,12/6/2020,12/7/2020,12/8/2020,12/9/2020,12/10/2020,12/11/2020,12/12/2020,12/13/2020,12/14/2020,12/15/2020,12/16/2020,12/17/2020,12/18/2020,12/19/2020,12/20/2020,12/21/2020,12/22/2020,12/23/2020
00156,Abington township,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,6,2,2,7,7,3,1,7,1,1,7,6,6,6,12,9,11,7,14,6,9,7,6,7,3,6,20,7,17,8,10,8,20,10,18,0,0,13,13,8,4,14,4,1,2,18,4,7,4,0,7,2,1,7,4,3,4,2,6,6,13,11,2,2,2,6,4,11,2,3,0,11,2,7,8,9,3,3,12,2,3,9,3,2,0,1,3,2,1,5,2,4,0,2,1,5,6,1,2,2,0,1,5,3,0,5,9,5,1,3,6,2,2,2,4,6,4,5,1,3,1,3,1,6,2,4,4,5,2,4,4,4,1,2,3,6,1,5,4,2,1,4,3,3,1,6,2,5,2,4,7,1,5,2,2,4,1,3,0,3,4,0,5,2,1,4,1,6,5,5,1,0,1,3,3,1,1,0,3,0,0,2,2,1,2,1,2,6,2,0,1,0,0,7,6,1,0,2,4,2,6,3,4,3,5,6,6,3,2,5,2,1,0,4,10,9,9,8,3,8,12,12,16,10,4,18,7,19,18,15,15,17,14,14,17,25,14,26,5,12,10,26,26,29,24,11,19,28,21,46,57,17,18,34,0,0,46,35,30,21,29,22,43,57,47,31,29,18,34,39,38,21,28,7,22,20,31
02264,Ambler borough,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,1,0,2,1,1,4,1,1,0,1,11,3,2,5,3,0,2,2,2,0,0,4,0,3,5,2,1,5,2,5,0,0,0,1,0,1,5,1,1,2,4,0,0,0,0,0,1,0,1,2,0,1,1,1,1,1,1,3,1,2,1,0,2,1,0,2,0,3,0,0,1,0,1,1,1,3,3,1,1,1,0,2,1,1,1,8,1,0,0,3,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,2,2,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,1,0,0,0,0,1,0,0,1,0,0,0,2,2,0,2,0,0,0,0,0,0,1,0,2,2,2,3,0,3,3,2,3,4,6,2,0,1,0,0,4,3,5,1,2,3,2,4,3,8,0,3,7,0,0,4,4,5,0,4,1,4,2,9,10,1,2,1,2,4,1,2,0,1,1,1
08568,Bridgeport borough,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,1,1,0,0,0,1,1,0,0,2,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,1,1,1,2,1,0,0,0,1,1,1,1,2,1,0,1,2,1,2,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,1,1,3,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,2,1,1,0,1,2,0,0,0,0,0,0,0,0,0,2,2,2,0,2,0,2,1,1,2,1,0,2,1,0,4,6,12,3,5,8,0,0,2,3,5,2,4,1,6,1,9,1,2,1,3,2,4,2,0,1,0,1,1
09696,Bryn Athyn borough,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12968,Cheltenham township,0,1,0,0,0,0,0,0,0,0,0,2,2,1,3,2,3,4,7,3,2,1,4,3,3,13,5,8,7,9,14,7,5,15,4,3,5,25,4,19,8,15,5,11,7,9,5,10,3,9,19,2,8,13,16,11,4,2,1,13,5,15,2,5,0,2,2,41,8,1,1,4,1,7,2,8,1,3,0,0,4,1,2,1,2,0,2,1,1,1,2,2,3,4,1,0,9,2,0,0,3,2,3,7,0,0,0,0,1,2,1,3,1,3,1,1,2,3,4,0,1,4,3,0,2,1,3,1,1,3,1,3,3,3,1,5,2,8,10,0,5,2,3,3,3,2,3,2,1,2,1,3,0,0,4,3,1,3,1,1,3,3,1,3,1,0,1,1,2,2,2,0,3,3,0,1,1,4,0,3,0,3,2,2,1,4,1,1,3,3,1,2,1,1,4,0,2,2,1,0,0,0,2,0,2,5,5,0,1,3,1,3,1,4,3,2,3,2,1,0,4,2,4,0,2,2,1,0,3,3,7,3,1,8,6,6,9,5,7,4,9,6,8,5,10,6,11,8,9,8,19,17,32,4,11,10,12,19,16,10,19,12,17,20,15,33,9,20,33,0,0,32,18,15,12,18,9,16,32,24,16,9,9,9,13,17,8,6,8,6,14,21
15192,Collegeville borough,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,1,0,1,0,1,2,0,1,2,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,1,1,1,0,1,4,2,3,1,4,1,2,1,1,3,0,1,1,1,0,4,4,0,0,1,2,3,0,1,0,1,2,2,0,0,1,1,3,1,0,1,3,0,2,3
15848,Conshohocken borough,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,0,0,0,0,1,1,0,0,1,0,1,0,2,0,1,1,0,0,0,0,1,3,4,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,2,1,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,2,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,8,1,0,0,0,2,0,1,2,0,0,3,0,0,0,3,2,0,2,2,0,1,1,0,0,1,1,0,2,1,2,1,1,0,1,0,0,2,1,0,1,1,3,4,3,0,2,3,7,4,3,3,4,1,0,5,8,2,3,2,5,0,0,0,1,11,4,3,1,6,3,3,5,8,3,6,6,5,1,1,1,1,6,6
19672,Douglass township,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,3,0,0,0,1,2,1,0,0,0,0,0,2,0,0,0,0,1,0,2,3,3,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,2,1,0,1,1,0,0,1,2,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,1,0,1,0,2,0,0,1,1,1,1,1,1,0,1,0,1,0,0,2,0,0,0,1,0,0,4,0,1,3,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,1,0,0,0,2,2,1,3,5,2,3,1,2,4,0,1,2,3,3,1,2,3,3,2,6,4,3,3,2,5,0,0,3,6,2,5,3,1,3,5,9,7,0,4,0,9,8,4,8,5,1,3,8
21200,East Greenville borough,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,0,1,2,0,0,2,2,2,1,0,1,0,1,4,5,3,0,3,0,0,0,3,0,0,2,1,0,0,3,0,2,2,3,1,0,5,1,5,0,4,5
21600,East Norriton township,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,2,0,1,2,0,5,1,3,0,2,2,3,1,3,2,0,3,0,2,4,6,3,3,7,2,0,5,1,4,5,7,2,1,1,0,2,3,2,1,1,5,3,2,5,3,5,4,1,0,1,5,3,1,12,3,0,0,4,2,3,8,2,1,3,2,1,12,4,7,2,0,2,2,0,0,2,1,0,0,5,1,2,3,1,1,2,1,4,2,2,1,2,2,1,0,0,0,4,2,1,0,3,1,0,1,0,1,0,0,0,7,2,0,1,1,2,2,2,3,3,1,0,0,2,0,0,0,0,1,1,7,2,1,4,3,2,0,1,4,2,5,2,1,0,1,0,3,1,4,3,2,0,1,0,5,0,5,1,0,1,0,2,1,0,1,1,1,1,2,0,1,1,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,2,0,0,1,0,2,2,0,0,0,0,0,1,1,1,0,3,2,1,1,2,3,1,2,2,2,2,2,1,1,2,2,4,7,3,5,3,0,7,3,3,2,7,4,1,4,1,3,2,6,2,3,0,2,5,13,1,9,13,0,0,15,10,5,5,7,3,13,7,14,8,4,4,2,12,6,9,6,5,2,2,7
